Date;Type;id_route;id_naryad;id_part;id_car;id_stop;time_arr;time_dep;count_flights;move_time;to_depot
01.12.2022;19 Трамваи;19;2;1;5104 (тм);ж/д Старая деревня;01.12.2022 6:04:00;01.12.2022 6:05:00;1,00;;Да
01.12.2022;19 Трамваи;19;2;1;5104 (тм);ж/д Старая деревня;01.12.2022 12:32:00;01.12.2022 12:33:00;;19;Да
01.12.2022;19 Трамваи;19;2;2;5104 (тм);ж/д Старая деревня;01.12.2022 17:19:00;01.12.2022 17:20:00;1,00;;Да
01.12.2022;19 Трамваи;19;2;2;5104 (тм);ж/д Старая деревня;02.12.2022 0:33:00;02.12.2022 0:34:00;;18;Да
01.12.2022;19 Трамваи;19;3;1;5306 (тм);ж/д Старая деревня;01.12.2022 6:18:00;01.12.2022 6:19:00;1,00;;Да
01.12.2022;19 Трамваи;19;3;2;5306 (тм);ж/д Старая деревня;01.12.2022 21:46:00;01.12.2022 21:47:00;;18;Да
01.12.2022;19 Трамваи;19;4;1;5125 (тм);ж/д Старая деревня;01.12.2022 7:07:00;01.12.2022 7:08:00;1,00;;Да
01.12.2022;19 Трамваи;19;4;2;5125 (тм);ж/д Старая деревня;02.12.2022 0:19:00;02.12.2022 0:20:00;;18;Да
01.12.2022;19 Трамваи;19;5;2;5303 (тм);ж/д Старая деревня;01.12.2022 17:34:00;01.12.2022 17:35:00;1,00;;Да
01.12.2022;19 Трамваи;19;5;2;5303 (тм);ж/д Старая деревня;02.12.2022 0:47:00;02.12.2022 0:48:00;;18;Да
01.12.2022;19 Трамваи;19;1;1;5026 (тм);ж/д Старая деревня;01.12.2022 5:51:00;01.12.2022 5:52:00;1,00;;Да
01.12.2022;19 Трамваи;19;1;2;5026 (тм);ж/д Старая деревня;01.12.2022 22:13:00;01.12.2022 22:14:00;;18;Да
02.12.2022;19 Трамваи;19;1;1;5104 (тм);ж/д Старая деревня;02.12.2022 5:51:00;02.12.2022 5:52:00;1,00;;Да
02.12.2022;19 Трамваи;19;1;2;5104 (тм);ж/д Старая деревня;02.12.2022 22:13:00;02.12.2022 22:14:00;;18;Да
02.12.2022;19 Трамваи;19;2;1;5111 (тм);ж/д Старая деревня;02.12.2022 6:04:00;02.12.2022 6:05:00;1,00;;Да
02.12.2022;19 Трамваи;19;2;1;5111 (тм);ж/д Старая деревня;02.12.2022 12:32:00;02.12.2022 12:33:00;;19;Да
02.12.2022;19 Трамваи;19;2;2;5111 (тм);ж/д Старая деревня;02.12.2022 17:19:00;02.12.2022 17:20:00;1,00;;Да
02.12.2022;19 Трамваи;19;2;2;5111 (тм);ж/д Старая деревня;03.12.2022 0:33:00;03.12.2022 0:34:00;;18;Да
02.12.2022;19 Трамваи;19;3;1;5303 (тм);ж/д Старая деревня;02.12.2022 6:18:00;02.12.2022 6:19:00;1,00;;Да
02.12.2022;19 Трамваи;19;3;2;5303 (тм);ж/д Старая деревня;02.12.2022 21:46:00;02.12.2022 21:47:00;;18;Да
02.12.2022;19 Трамваи;19;4;1;5006 (тм);ж/д Старая деревня;02.12.2022 7:07:00;02.12.2022 7:08:00;1,00;;Да
02.12.2022;19 Трамваи;19;4;2;5006 (тм);ж/д Старая деревня;03.12.2022 0:19:00;03.12.2022 0:20:00;;18;Да
02.12.2022;19 Трамваи;19;5;2;5302 (тм);ж/д Старая деревня;02.12.2022 17:34:00;02.12.2022 17:35:00;1,00;;Да
02.12.2022;19 Трамваи;19;5;2;5302 (тм);ж/д Старая деревня;03.12.2022 0:47:00;03.12.2022 0:48:00;;18;Да
03.12.2022;19 Трамваи;19;1;1;5301 (тм);ж/д Старая деревня;03.12.2022 7:30:00;03.12.2022 7:31:00;1,00;;Да
03.12.2022;19 Трамваи;19;1;2;5301 (тм);ж/д Старая деревня;03.12.2022 23:31:00;03.12.2022 23:32:00;;18;Да
03.12.2022;19 Трамваи;19;2;1;5104 (тм);ж/д Старая деревня;03.12.2022 7:50:00;03.12.2022 7:51:00;1,00;;Да
03.12.2022;19 Трамваи;19;2;2;5104 (тм);ж/д Старая деревня;03.12.2022 23:18:00;03.12.2022 23:19:00;;18;Да
03.12.2022;19 Трамваи;19;3;1;5069 (тм);ж/д Старая деревня;03.12.2022 8:21:00;03.12.2022 8:22:00;1,00;;Да
03.12.2022;19 Трамваи;19;3;2;5069 (тм);ж/д Старая деревня;03.12.2022 23:45:00;03.12.2022 23:46:00;;18;Да
04.12.2022;19 Трамваи;19;1;1;5104 (тм);ж/д Старая деревня;04.12.2022 7:30:00;04.12.2022 7:31:00;1,00;;Да
04.12.2022;19 Трамваи;19;1;2;5104 (тм);ж/д Старая деревня;04.12.2022 23:31:00;04.12.2022 23:32:00;;18;Да
04.12.2022;19 Трамваи;19;2;1;5302 (тм);ж/д Старая деревня;04.12.2022 7:50:00;04.12.2022 7:51:00;1,00;;Да
04.12.2022;19 Трамваи;19;2;2;5302 (тм);ж/д Старая деревня;04.12.2022 23:18:00;04.12.2022 23:19:00;;18;Да
04.12.2022;19 Трамваи;19;3;1;5303 (тм);ж/д Старая деревня;04.12.2022 8:21:00;04.12.2022 8:22:00;1,00;;Да
04.12.2022;19 Трамваи;19;3;2;5303 (тм);ж/д Старая деревня;04.12.2022 23:45:00;04.12.2022 23:46:00;;18;Да
05.12.2022;19 Трамваи;19;1;1;5317 (тм);ж/д Старая деревня;05.12.2022 5:51:00;05.12.2022 5:52:00;1,00;;Да
05.12.2022;19 Трамваи;19;1;2;5317 (тм);ж/д Старая деревня;05.12.2022 22:03:00;05.12.2022 22:04:00;;18;Да
